	category_1	city_1	category_2	city_2	category_3	city_3	category_4	city_4	category_5	city_5
0	Tourism Attractions/ Sites	Al Ahsa	Retail	Al Ahsa						
1	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh	Tourism Attractions/ Sites	Riyadh	Tourism Attractions/ Sites	Dammam
2	Tourism Attractions/ Sites	Taif								
3	Tourism Attractions/ Sites	Yanbu								
4	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
5	Tourism Attractions/ Sites	Jizan								
6	Tourism Attractions/ Sites	Al Baha								
7	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh	Tourism Attractions/ Sites	Riyadh				
8	Tourism Attractions/ Sites	Abha								
9	Food & Beverage	Taif	Tourism Attractions/ Sites	Taif						
10	Tourism Attractions/ Sites	Taif								
11	Accommodation	Jeddah								
12	Tourism Attractions/ Sites	Madinah	Retail	Riyadh						
13	Tourism Attractions/ Sites	Tabuk								
14	Accommodation	Abha								
15	Tourism Attractions/ Sites	Al Baha								
16	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
17	Tourism Attractions/ Sites	Jizan								
18	Tourism Attractions/ Sites	Madinah								
19	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
20	Tourism Attractions/ Sites	Al Ahsa								
21	Accommodation	Khobar	Accommodation	Dammam						
22	Tourism Attractions/ Sites	Taif								
23	Tourism Attractions/ Sites	Umluj								
24	Accommodation	Makkah								
25	Tourism Attractions/ Sites	Yanbu								
26	Tourism Attractions/ Sites	Tanomah								
27	Accommodation	Jeddah								
28	Accommodation	Jeddah								
29	Food & Beverage	Al Ahsa	Tourism Attractions/ Sites	Al Ahsa						
30	Food & Beverage	Riyadh								
31	Tourism Attractions/ Sites	Abha								
32	Food & Beverage	Riyadh								
33	Tourism Attractions/ Sites	Tabuk								
34	Tourism Attractions/ Sites	Madinah								
35	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh						
36	Accommodation	Madinah								
37	Tourism Attractions/ Sites	Taif								
38	Food & Beverage	Taif								
39	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
40	Tourism Attractions/ Sites	Taif								
41	Tourism Attractions/ Sites	Umluj								
42	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
43	Accommodation	Khobar								
44	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh						
45	Tourism Attractions/ Sites	Khobar								
46	Tourism Attractions/ Sites	Tabuk								
47	Tourism Attractions/ Sites	Jizan								
48	Tourism Attractions/ Sites	Khobar								
49	Retail	Abha								
50	Accommodation	Makkah								
51	Food & Beverage	Riyadh								
52	Tourism Attractions/ Sites	Al Baha								
53	Accommodation	Madinah								
54	Tourism Attractions/ Sites	KAEC								
55	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
56	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
57	Accommodation	Jeddah								
58	Accommodation	Jizan								
59	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh	Tourism Attractions/ Sites	Riyadh	Tourism Attractions/ Sites	Dammam
60	Tourism Attractions/ Sites	Sakaka / AlJouf								
61	Tourism Attractions/ Sites	Umluj								
62	Food & Beverage	Tabuk								
63	Religious	Makkah								
64	Accommodation	Makkah								
65	Accommodation	Makkah								
66	Tourism Attractions/ Sites	Al Namas								
67	Tourism Attractions/ Sites	Tanomah								
68	Tourism Attractions/ Sites	Madinah								
69	Accommodation	Jeddah								
70	Tourism Attractions/ Sites	Al Ahsa								
71	Accommodation	Makkah								
72	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
73	Tourism Attractions/ Sites	Madinah								
74	Accommodation	Makkah								
75	Tourism Attractions/ Sites	Madinah								
76	Tourism Attractions/ Sites	Taif								
77	Accommodation	Riyadh	Food & Beverage	Riyadh						
78	Tourism Attractions/ Sites	Taif								
79	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh	Tourism Attractions/ Sites	Riyadh				
80	Tourism Attractions/ Sites	Taif								
81	Tourism Attractions/ Sites	Madinah								
82	Accommodation	Makkah								
83	Food & Beverage	Taif	Tourism Attractions/ Sites	Taif						
84	Tourism Attractions/ Sites	Tabuk								
85	Accommodation	Madinah								
86	Food & Beverage	Al Ahsa	Tourism Attractions/ Sites	Al Ahsa						
87	Tourism Attractions/ Sites	Taif								
88	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
89	Tourism Attractions/ Sites	Abha								
90	Tourism Attractions/ Sites	Abha								
91	Tourism Attractions/ Sites	Al Ahsa								
92	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
93	Tourism Attractions/ Sites	Madinah								
94	Tourism Attractions/ Sites	Taif								
95	Food & Beverage	Riyadh								
96	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
97	Tourism Attractions/ Sites	Taif								
98	Tourism Attractions/ Sites	Al Baha								
99	Tourism Attractions/ Sites	Taif								
100	Tourism Attractions/ Sites	Umluj								
101	Accommodation	Makkah								
102	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
103	Food & Beverage	Taif	Tourism Attractions/ Sites	Taif						
104	Accommodation	Makkah								
105	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh	Tourism Attractions/ Sites	Riyadh	Tourism Attractions/ Sites	Dammam
106	Tourism Attractions/ Sites	Taif								
107	Tourism Attractions/ Sites	Yanbu								
108	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh	Tourism Attractions/ Sites	Riyadh				
109	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
110	Tourism Attractions/ Sites	Sakaka / AlJouf								
111	Accommodation	Makkah								
112	Tourism Attractions/ Sites	Jizan								
113	Tourism Attractions/ Sites	Al Ahsa								
114	Accommodation	Madinah								
115	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
116	Tourism Attractions/ Sites	Yanbu								
117	Tourism Attractions/ Sites	Madinah								
118	Tourism Attractions/ Sites	Taif								
119	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
120	Tourism Attractions/ Sites	Tabuk								
121	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
122	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh						
123	Tourism Attractions/ Sites	Abha								
124	Food & Beverage	Riyadh								
125	Tourism Attractions/ Sites	Madinah	Retail	Riyadh						
126	Tourism Attractions/ Sites	Umluj								
127	Tourism Attractions/ Sites	Madinah								
128	Tourism Attractions/ Sites	Al Ahsa	Retail	Al Ahsa						
129	Tourism Attractions/ Sites	Madinah								
130	Tourism Attractions/ Sites	Al Namas								
131	Tourism Attractions/ Sites	Khobar								
132	Tourism Attractions/ Sites	Sakaka / AlJouf								
133	Tourism Attractions/ Sites	Madinah	Retail	Riyadh						
134	Tourism Attractions/ Sites	Al Baha								
135	Tourism Attractions/ Sites	Madinah								
136	Accommodation	Al Ahsa								
137	Tourism Attractions/ Sites	KAEC								
138	Tourism Attractions/ Sites	Madinah								
139	Tourism Attractions/ Sites	Madinah								
140	Tourism Attractions/ Sites	Taif								
141	Food & Beverage	Riyadh								
142	Tourism Attractions/ Sites	Al Ahsa	Retail	Al Ahsa						
143	Tourism Attractions/ Sites	Madinah								
144	Retail	Dammam								
145	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh	Tourism Attractions/ Sites	Riyadh	Tourism Attractions/ Sites	Dammam
146	Food & Beverage	Tabuk								
147	Tourism Attractions/ Sites	Abha								
148	Tourism Attractions/ Sites	Yanbu								
149	Accommodation	Makkah								
150	Tourism Attractions/ Sites	Jizan								
151	Accommodation	Makkah								
152	Tourism Attractions/ Sites	Al Ahsa								
153	Tourism Attractions/ Sites	Tabuk								
154	Accommodation	Jeddah								
155	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
156	Tourism Attractions/ Sites	Abha								
157	Accommodation	Makkah								
158	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh	Tourism Attractions/ Sites	Riyadh				
159	Tourism Attractions/ Sites	Taif								
160	Tourism Attractions/ Sites	Madinah								
161	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
162	Tourism Attractions/ Sites	Jizan								
163	Food & Beverage	Taif	Tourism Attractions/ Sites	Taif						
164	Tourism Attractions/ Sites	Taif								
165	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh						
166	Accommodation	Dammam								
167	Accommodation	Madinah								
168	Tourism Attractions/ Sites	Umluj								
169	Tourism Attractions/ Sites	Tabuk								
170	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
171	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
172	Accommodation	Madinah								
173	Tourism Attractions/ Sites	Taif								
174	Tourism Attractions/ Sites	Al Baha								
175	Accommodation	Madinah								
176	Tourism Attractions/ Sites	Madinah								
177	Tourism Attractions/ Sites	Abha								
178	Accommodation	Makkah								
179	Accommodation	Jeddah								
180	Tourism Attractions/ Sites	Al Baha								
181	Tourism Attractions/ Sites	Khobar								
182	Accommodation	Dammam								
183	Tourism Attractions/ Sites	Tabuk								
184	Accommodation	Jeddah								
185	Tourism Attractions/ Sites	Sakaka / AlJouf								
186	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
187	Tourism Attractions/ Sites	Al Ahsa								
188	Tourism Attractions/ Sites	Yanbu								
189	Accommodation	Dammam								
190	Accommodation	Makkah								
191	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh	Tourism Attractions/ Sites	Riyadh				
192	Tourism Attractions/ Sites	Madinah								
193	Food & Beverage	Al Ahsa	Tourism Attractions/ Sites	Al Ahsa						
194	Tourism Attractions/ Sites	Yanbu								
195	Accommodation	Makkah								
196	Accommodation	Madinah								
197	Tourism Attractions/ Sites	Madinah								
198	Accommodation	Jeddah								
199	Tourism Attractions/ Sites	Taif								
200	Tourism Attractions/ Sites	Taif								
201	Tourism Attractions/ Sites	Umluj								
202	Accommodation	Jeddah								
203	Retail	Jeddah								
204	Retail	Jeddah								
205	Accommodation	Dammam								
206	Tourism Attractions/ Sites	Al Namas								
207	Tourism Attractions/ Sites	Madinah	Retail	Riyadh						
208	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
209	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
210	Accommodation	Hail								
211	Tourism Attractions/ Sites	Abha								
212	Tourism Attractions/ Sites	Al Baha								
213	Accommodation	Abha	Food & Beverage	Riyadh						
214	Tourism Attractions/ Sites	Tanomah								
215	Tourism Attractions/ Sites	Taif								
216	Accommodation	Dammam								
217	Tourism Attractions/ Sites	Al Ahsa	Retail	Al Ahsa						
218	Religious	Makkah								
219	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh						
220	Food & Beverage	Tabuk								
221	Tourism Attractions/ Sites	Taif								
222	Accommodation	Jeddah								
223	Tourism Attractions/ Sites	Tanomah								
224	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
225	Food & Beverage	Taif	Tourism Attractions/ Sites	Taif						
226	Tourism Attractions/ Sites	Khobar								
227	Accommodation	Dammam								
228	Accommodation	Jeddah								
229	Tourism Attractions/ Sites	Madinah								
230	Tourism Attractions/ Sites	Jizan								
231	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh	Tourism Attractions/ Sites	Riyadh	Tourism Attractions/ Sites	Dammam
232	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh						
233	Tourism Attractions/ Sites	Khobar								
234	Tourism Attractions/ Sites	Umluj								
235	Tourism Attractions/ Sites	Madinah								
236	Tourism Attractions/ Sites	Yanbu								
237	Tourism Attractions/ Sites	Madinah								
238	Tourism Attractions/ Sites	Taif								
239	Tourism Attractions/ Sites	Tanomah								
240	Tourism Attractions/ Sites	Madinah	Retail	Madinah						
241	Tourism Attractions/ Sites	Madinah								
242	Accommodation	Riyadh								
243	Tourism Attractions/ Sites	Al Ahsa								
244	Tourism Attractions/ Sites	Tabuk								
245	Religious	Makkah								
246	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh	Tourism Attractions/ Sites	Riyadh				
247	Tourism Attractions/ Sites	Abha								
248	Tourism Attractions/ Sites	Madinah								
249	Accommodation	Dammam								
250	Tourism Attractions/ Sites	Al Baha								
251	Tourism Attractions/ Sites	Tabuk								
252	Tourism Attractions/ Sites	KAEC								
253	Accommodation	Jizan								
254	Food & Beverage	Tabuk								
255	Tourism Attractions/ Sites	Al Ahsa								
256	Tourism Attractions/ Sites	Al Baha								
257	Tourism Attractions/ Sites	Yanbu								
258	Religious	Makkah								
259	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
260	Retail	Abha								
261	Food & Beverage	Taif	Tourism Attractions/ Sites	Taif						
262	Tourism Attractions/ Sites	Taif								
263	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
264	Tourism Attractions/ Sites	Yanbu								
265	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
266	Tourism Attractions/ Sites	Taif								
267	Tourism Attractions/ Sites	Taif								
268	Food & Beverage	Al Ahsa	Tourism Attractions/ Sites	Al Ahsa						
269	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
270	Accommodation	Jeddah								
271	Accommodation	Jeddah								
272	Tourism Attractions/ Sites	Tabuk								
273	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
274	Tourism Attractions/ Sites	Umluj								
275	Tourism Attractions/ Sites	Umluj								
276	Tourism Attractions/ Sites	Taif								
277	Accommodation	Jeddah								
278	Tourism Attractions/ Sites	Taif								
279	Tourism Attractions/ Sites	Al Baha								
280	Tourism Attractions/ Sites	Yanbu								
281	Food & Beverage	Riyadh								
282	Tourism Attractions/ Sites	Jizan								
283	Accommodation	Khobar								
284	Tourism Attractions/ Sites	Jizan								
285	Accommodation	Khobar								
286	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
287	Food & Beverage	Riyadh								
288	Tourism Attractions/ Sites	Al Baha								
289	Food & Beverage	Taif	Tourism Attractions/ Sites	Taif						
290	Tourism Attractions/ Sites	Yanbu								
291	Accommodation	Madinah								
292	Tourism Attractions/ Sites	Madinah								
293	Tourism Attractions/ Sites	Al Ahsa								
294	Tourism Attractions/ Sites	Taif								
295	Retail	Riyadh								
296	Tourism Attractions/ Sites	Madinah								
297	Tourism Attractions/ Sites	Tanomah								
298	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
299	Accommodation	Khobar								
300	Tourism Attractions/ Sites	Tabuk								
301	Tourism Attractions/ Sites	Taif								
302	Tourism Attractions/ Sites	Madinah								
303	Tourism Attractions/ Sites	Abha								
